ASIN,URL,Product,Reviews,Rating,Price
B07524LHMT,https://www.amazon.com/Nikon-D850-FX-Format-Digital-Camera/dp/B07524LHMT/ref=lp_3017941_1_6/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-6,Nikon D850 FX-Format Digital SLR Camera Body,170,4.8,2996.95
B075ZXYBLL,https://www.amazon.com/Canon-Camera-18-55mm-70-300mm-Accessories/dp/B075ZXYBLL/ref=sr_1_36?qid=1567175130&s=electronics&sr=1-36,"Canon EOS Rebel T7i 24.2 MP DSLR Camera with Canon EF-S 18-55mm f/4-5.6 is STM Lens + Tamron 70-300mm f/4-5.6 Di LD Lens + 2 Memory Cards + 2 Aux Lenses + 50"" Tripod + Accessories Bundle (24 Items)",33,4.5,839.0
B0764H8FQC,https://www.amazon.com/Canon-EOS-Rebel-SL2-Accessories/dp/B0764H8FQC/ref=sr_1_30?qid=1567175118&s=electronics&sr=1-30,"Canon EOS Rebel SL2 DSLR Camera with EF-S 18-55mm f/4-5.6 is STM Lens + 2 Memory Cards + 2 Auxiliary Lenses + HD Filters + 50"" Tripod + Premium Accessories Bundle (24 Items)",42,4.6,569.0
B076TGDHPT,https://www.amazon.com/Sony-a7R-Mirrorless-Camera-Interchangeable/dp/B076TGDHPT/ref=lp_3017941_1_9/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-9,"Sony a7R III Mirrorless Camera: 42.4MP Full Frame High Resolution Mirrorless Interchangeable Lens Digital Camera with Front End LSI Image Processor, 4K HDR Video and 3"" LCD Screen - ILCE7RM3/B Body",104,4.5,2498.0
B077GXJ1TC,https://www.amazon.com/Canon-EOS-80D-Certified-Refurbished/dp/B077GXJ1TC/ref=sr_1_42?qid=1567175130&s=electronics&sr=1-42,Canon EOS 80D Digital SLR Camera Body (Black) (Renewed),41,4.9,747.0
B077H3KD19,https://www.amazon.com/Canon-Mark-DSLR-Camera-Body/dp/B077H3KD19/ref=sr_1_70?qid=1567175160&s=electronics&sr=1-70,Canon EOS 5D Mark IV DSLR Camera ( Body Only ) - Deal-Expo Accessories Bundle,7,3.6,2169.99
B078J9VHYK,https://www.amazon.com/Canon-Camera-18-55mm-75-300mm-Accessory/dp/B078J9VHYK/ref=sr_1_72?qid=1567175160&s=electronics&sr=1-72,Canon EOS Rebel T7i DSLR Camera with EF-S 18-55mm is STM & Canon 75-300mm Lens + 2X 32GB Ultra SDHC UHS Class 10 Memory Card + Accessory Bundle (2 Lens Kit EF-S 18-55mm & EF 75-300mm),91,4.4,899.0
B079GDB7C7,https://www.amazon.com/Canon-18-55mm-75-300mm-Filters-Professional/dp/B079GDB7C7/ref=lp_3017941_1_18/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-18,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,203,4.7,589.0
B07BS19VZK,https://www.amazon.com/Canon-Rebel-Digital-Camera-18-55/dp/B07BS19VZK/ref=sr_1_74?qid=1567175160&s=electronics&sr=1-74,Canon EOS 800D/Rebel T7i Digital SLR Camera with 18-55 IS STM Lens Black - Deal-Expo Essential Accessories Bundle,18,4.7,589.99
B07C2Z21X5,https://www.amazon.com/Canon-Rebel-T7-18-55mm-II/dp/B07C2Z21X5/ref=sr_1_37?qid=1567175130&s=electronics&sr=1-37,EOS Rebel T7 18-55mm f/3.5-5.6 is II Kit,12,3.6,449.0
